Speccode,Species,Rat
AC,Arctic Skua,1.42
AE,Arctic Tern,1.15963165008428
PU,Atlantic Puffin,2.08010754285426
KI,Black-legged Kittiwake,1.7600847275217
GU,Common Guillemot,1.48003840099502
CN,Common Tern,1.33989705317347
SA,European Shag,2.61965854996466
GB,Great Black-backed Gull,2.51967789263182
CA,Great Cormorant,2.33992947075085
NX,Great Skua,2.83967637491152
HG,Herring Gull,2.17995994013794
LB,Lesser Black-backed Gull,1.36018408099442
AF,Little Tern,1.11965929289401
MX,Manx Shearwater,1.67998723027643
F.,Northern Fulmar,1.23995540202703
GX,Northern Gannet,1.62002519200773
RA,Razorbill,1.4999188967136
RH,Red-throated Diver,1.48012035102821
RS,Roseate Tern,1.5
TE,Sandwich Tern,1.25997619993599
